LocationID,Borough,Zone,service_zone,Latitude,Longitude
247,Bronx,West Concourse,Boro Zone,40.8259868,-73.9214715
248,Bronx,West Farms/Bronx River,Boro Zone,,
249,Manhattan,West Village,Yellow Zone,40.7341857,-74.00558
250,Bronx,Westchester Village/Unionport,Boro Zone,,
251,Staten Island,Westerleigh,Boro Zone,40.621215,-74.1318094
252,Queens,Whitestone,Boro Zone,40.7945457,-73.8184674
253,Queens,Willets Point,Boro Zone,40.796708,-73.779396
254,Bronx,Williamsbridge/Olinville,Boro Zone,,
255,Brooklyn,Williamsburg (North Side),Boro Zone,,
256,Brooklyn,Williamsburg (South Side),Boro Zone,,
257,Brooklyn,Windsor Terrace,Boro Zone,40.653487,-73.977196
258,Queens,Woodhaven,Boro Zone,40.6892698,-73.8579131
259,Bronx,Woodlawn/Wakefield,Boro Zone,,
260,Queens,Woodside,Boro Zone,40.7453798,-73.9054145
261,Manhattan,World Trade Center,Yellow Zone,40.7119004,-74.012527
262,Manhattan,Yorkville East,Yellow Zone,40.7736354,-73.9563849
263,Manhattan,Yorkville West,Yellow Zone,,
264,Unknown,,,,
265,,Outside of NYC,,40.7293829,-73.9832465
